Column,Null_Count_W1,Null_%_W1,Null_Count_W2,Null_%_W2,Diff_Count (W2-W1),Diff_% (W2-W1),More_Missing_In
age_of_the_product,10648,100.0,10647,100.0,-1,0.0,Week1
alchol_by_volume,10648,100.0,10647,100.0,-1,0.0,Week1
brand_type,10648,100.0,10647,100.0,-1,0.0,Week1
beer_deg,10648,100.0,10647,100.0,-1,0.0,Week1
warranty,10648,100.0,10647,100.0,-1,0.0,Week1
usp,10648,100.0,10647,100.0,-1,0.0,Week1
chilled,10648,100.0,10647,100.0,-1,0.0,Week1
care_instructions,10648,100.0,10647,100.0,-1,0.0,Week1
dietary_lifestyle,10648,100.0,10647,100.0,-1,0.0,Week1
distributor_address,10648,100.0,10647,100.0,-1,0.0,Week1
cooking_part,10648,100.0,10647,100.0,-1,0.0,Week1
fit_guide,10648,100.0,10647,100.0,-1,0.0,Week1
file_name_3,10648,100.0,10647,100.0,-1,0.0,Week1
file_name_4,10648,100.0,10647,100.0,-1,0.0,Week1
file_name_5,10648,100.0,10647,100.0,-1,0.0,Week1
file_name_1,10648,100.0,10647,100.0,-1,0.0,Week1
file_name_2,10648,100.0,10647,100.0,-1,0.0,Week1
environmental,10648,100.0,10647,100.0,-1,0.0,Week1
drained_weight,10648,100.0,10647,100.0,-1,0.0,Week1
dosage_recommendation,10648,100.0,10647,100.0,-1,0.0,Week1
frozen,10648,100.0,10647,100.0,-1,0.0,Week1
food_preservation,10648,100.0,10647,100.0,-1,0.0,Week1
file_name_6,10648,100.0,10647,100.0,-1,0.0,Week1
manufacturer_address,10648,100.0,10647,100.0,-1,0.0,Week1
multibuy_items_pricesingle,10648,100.0,10647,100.0,-1,0.0,Week1
multi_buy_items_price_total,10648,100.0,10647,100.0,-1,0.0,Week1
multi_buy_item_count,10648,100.0,10647,100.0,-1,0.0,Week1
model_number,10648,100.0,10647,100.0,-1,0.0,Week1
netcontent,10648,100.0,10647,100.0,-1,0.0,Week1
netweight,10648,100.0,10647,100.0,-1,0.0,Week1
importer_address,10648,100.0,10647,100.0,-1,0.0,Week1
heel_type,10648,100.0,10647,100.0,-1,0.0,Week1
handmade,10648,100.0,10647,100.0,-1,0.0,Week1
heel_height,10648,100.0,10647,100.0,-1,0.0,Week1
grape_variety,10648,100.0,10647,100.0,-1,0.0,Week1
grade,10648,100.0,10647,100.0,-1,0.0,Week1
nutritions,10648,100.0,10647,100.0,-1,0.0,Week1
material_composition,10648,100.0,10647,100.0,-1,0.0,Week1
max_heating_temperature,10648,100.0,10647,100.0,-1,0.0,Week1
instructions,10648,100.0,10647,100.0,-1,0.0,Week1
standard_drinks,10648,100.0,10647,100.0,-1,0.0,Week1
store_addressid,10648,100.0,10647,100.0,-1,0.0,Week1
special_nutrition_purpose,10648,100.0,10647,100.0,-1,0.0,Week1
size,10648,100.0,10647,100.0,-1,0.0,Week1
store_addressline1,10648,100.0,10647,100.0,-1,0.0,Week1
suitable_for,10648,100.0,10647,100.0,-1,0.0,Week1
style,10648,100.0,10647,100.0,-1,0.0,Week1
store_suburb,10648,100.0,10647,100.0,-1,0.0,Week1
store_state,10648,100.0,10647,100.0,-1,0.0,Week1
store_postcode,10648,100.0,10647,100.0,-1,0.0,Week1
store_name,10648,100.0,10647,100.0,-1,0.0,Week1
random_weight_flag,10648,100.0,10647,100.0,-1,0.0,Week1
promo_limit,10648,100.0,10647,100.0,-1,0.0,Week1
producthierarchy_level7,10648,100.0,10647,100.0,-1,0.0,Week1
producthierarchy_level6,10648,100.0,10647,100.0,-1,0.0,Week1
producthierarchy_level5,10648,100.0,10647,100.0,-1,0.0,Week1
promotion_valid_upto,10648,100.0,10647,100.0,-1,0.0,Week1
promotion_type,10648,100.0,10647,100.0,-1,0.0,Week1
promotion_price,10648,100.0,10647,100.0,-1,0.0,Week1
promotion_description,10648,100.0,10647,100.0,-1,0.0,Week1
receipies,10648,100.0,10647,100.0,-1,0.0,Week1
processed_food,10648,100.0,10647,100.0,-1,0.0,Week1
price_was,10648,100.0,10647,100.0,-1,0.0,Week1
perfect_match,10648,100.0,10647,100.0,-1,0.0,Week1
per_unit_sizedescription,10648,100.0,10647,100.0,-1,0.0,Week1
percentage_discount,10648,100.0,10647,100.0,-1,0.0,Week1
package_sizeof_sellingprice,10648,100.0,10647,100.0,-1,0.0,Week1
occasion,10648,100.0,10647,100.0,-1,0.0,Week1
return_address,10648,100.0,10647,100.0,-1,0.0,Week1
servings_per_pack,10648,100.0,10647,100.0,-1,0.0,Week1
vitamins,10648,100.0,10647,100.0,-1,0.0,Week1
vinification_details,10648,100.0,10647,100.0,-1,0.0,Week1
upc,10648,100.0,10647,100.0,-1,0.0,Week1
store_addressline2,10648,100.0,10647,100.0,-1,0.0,Week1
region,10648,100.0,10647,100.0,-1,0.0,Week1
recycling_information,10648,100.0,10647,100.0,-1,0.0,Week1
dimensions,10617,99.71,10615,99.7,-2,-0.009999999999990905,Week1
flavour,10556,99.14,10554,99.13,-2,-0.010000000000005116,Week1
tasting_note,10556,99.14,10554,99.13,-2,-0.010000000000005116,Week1
packaging,10486,98.48,10482,98.45,-4,-0.030000000000001137,Week1
preparationinstructions,10455,98.19,10452,98.17,-3,-0.01999999999999602,Week1
feeding_recommendation,10397,97.64,10397,97.65,0,0.010000000000005116,Same
material,10353,97.23,10357,97.28,4,0.04999999999999716,Week2
age_recommendations,10338,97.09,10335,97.07,-3,-0.020000000000010232,Week1
allergens,10165,95.46,10165,95.47,0,0.010000000000005116,Same
image_url_6,9962,93.56,9968,93.62,6,0.060000000000002274,Week2
image_url_5,9523,89.43,9533,89.54,10,0.10999999999999943,Week2
nutritional_information,9446,88.71,9438,88.64,-8,-0.06999999999999318,Week1
labelling,9234,86.72,9223,86.63,-11,-0.09000000000000341,Week1
color,8932,83.88,8937,83.94,5,0.060000000000002274,Week2
image_url_4,8736,82.04,8751,82.19,15,0.14999999999999147,Week2
variants,8656,81.29,8657,81.31,1,0.01999999999999602,Week2
storage_instructions,8104,76.11,8098,76.06,-6,-0.04999999999999716,Week1
