brand,Week1_Count,Week2_Count,Change,% Change
dmBio,556.0,557.0,1.0,0.1798561151079137
Balea,460.0,460.0,0.0,0.0
essence,440.0,436.0,-4.0,-0.9090909090909091
trend !t up,311.0,305.0,-6.0,-1.929260450160772
babylove,304.0,305.0,1.0,0.3289473684210526
NYX PROFESSIONAL MAKEUP,293.0,293.0,0.0,0.0
alverde NATURKOSMETIK,281.0,282.0,1.0,0.3558718861209964
ebelin,276.0,278.0,2.0,0.7246376811594203
CATRICE,266.0,270.0,4.0,1.5037593984962405
EVELINE COSMETICS,252.0,250.0,-2.0,-0.7936507936507936
Profissimo,222.0,216.0,-6.0,-2.7027027027027026
MAYBELLINE NEW YORK,217.0,211.0,-6.0,-2.7649769585253456
Mivolis,166.0,170.0,4.0,2.4096385542168677
AFRODITA,166.0,167.0,1.0,0.6024096385542169
Denkmit,164.0,165.0,1.0,0.6097560975609756
L'ORÉAL PARiS,159.0,156.0,-3.0,-1.8867924528301887
Visiomax,148.0,149.0,1.0,0.6756756756756757
RIMMEL LONDON,131.0,137.0,6.0,4.580152671755725
DEIN BESTES,135.0,135.0,0.0,0.0
NIVEA,129.0,125.0,-4.0,-3.10077519379845
PUPA,108.0,108.0,0.0,0.0
sundance,97.0,96.0,-1.0,-1.0309278350515463
MAX FACTOR,95.0,95.0,0.0,0.0
Fascino,95.0,94.0,-1.0,-1.0526315789473684
DEPEND,87.0,87.0,0.0,0.0
