,Week1 (2026-08-27),Week2 (2026-09-03),Absolute Change,% Change
Total Unique Products,10648.0,10647.0,-1.0,-0.009391435011269723
Unique Brands,618.0,620.0,2.0,0.3236245954692557
Unique Categories (L1),1.0,1.0,0.0,0.0
Avg Selling Price,7.4372539444027055,7.42434300741993,-0.012910936982775567,-0.17359817318719323
Median Selling Price,4.45,4.45,0.0,0.0
% On Promotion,0.0,0.0,0.0,
Avg Discount % (on promo),,,,
% In Stock,100.0,100.0,0.0,0.0
Products with a Rating,8257.0,8272.0,15.0,0.18166404263049535
Avg Rating,4.417887852731016,4.417299323017407,-0.0005885297136085654,-0.013321517730350549
Total Review Count,686599.0,684577.0,-2022.0,-0.2944950400452083
