Column,Null_Count_W1,Null_%_W1,Null_Count_W2,Null_%_W2,Null_%_Diff (W2-W1)
age_of_the_product,10648,100.0,10647,100.0,0.0
alchol_by_volume,10648,100.0,10647,100.0,0.0
brand_type,10648,100.0,10647,100.0,0.0
beer_deg,10648,100.0,10647,100.0,0.0
warranty,10648,100.0,10647,100.0,0.0
usp,10648,100.0,10647,100.0,0.0
chilled,10648,100.0,10647,100.0,0.0
care_instructions,10648,100.0,10647,100.0,0.0
dietary_lifestyle,10648,100.0,10647,100.0,0.0
distributor_address,10648,100.0,10647,100.0,0.0
cooking_part,10648,100.0,10647,100.0,0.0
fit_guide,10648,100.0,10647,100.0,0.0
file_name_3,10648,100.0,10647,100.0,0.0
file_name_4,10648,100.0,10647,100.0,0.0
file_name_5,10648,100.0,10647,100.0,0.0
file_name_1,10648,100.0,10647,100.0,0.0
file_name_2,10648,100.0,10647,100.0,0.0
environmental,10648,100.0,10647,100.0,0.0
drained_weight,10648,100.0,10647,100.0,0.0
dosage_recommendation,10648,100.0,10647,100.0,0.0
frozen,10648,100.0,10647,100.0,0.0
food_preservation,10648,100.0,10647,100.0,0.0
file_name_6,10648,100.0,10647,100.0,0.0
manufacturer_address,10648,100.0,10647,100.0,0.0
multibuy_items_pricesingle,10648,100.0,10647,100.0,0.0
multi_buy_items_price_total,10648,100.0,10647,100.0,0.0
multi_buy_item_count,10648,100.0,10647,100.0,0.0
model_number,10648,100.0,10647,100.0,0.0
netcontent,10648,100.0,10647,100.0,0.0
netweight,10648,100.0,10647,100.0,0.0
importer_address,10648,100.0,10647,100.0,0.0
heel_type,10648,100.0,10647,100.0,0.0
handmade,10648,100.0,10647,100.0,0.0
heel_height,10648,100.0,10647,100.0,0.0
grape_variety,10648,100.0,10647,100.0,0.0
grade,10648,100.0,10647,100.0,0.0
nutritions,10648,100.0,10647,100.0,0.0
material_composition,10648,100.0,10647,100.0,0.0
max_heating_temperature,10648,100.0,10647,100.0,0.0
instructions,10648,100.0,10647,100.0,0.0
standard_drinks,10648,100.0,10647,100.0,0.0
store_addressid,10648,100.0,10647,100.0,0.0
special_nutrition_purpose,10648,100.0,10647,100.0,0.0
size,10648,100.0,10647,100.0,0.0
store_addressline1,10648,100.0,10647,100.0,0.0
suitable_for,10648,100.0,10647,100.0,0.0
style,10648,100.0,10647,100.0,0.0
store_suburb,10648,100.0,10647,100.0,0.0
store_state,10648,100.0,10647,100.0,0.0
store_postcode,10648,100.0,10647,100.0,0.0
store_name,10648,100.0,10647,100.0,0.0
random_weight_flag,10648,100.0,10647,100.0,0.0
promo_limit,10648,100.0,10647,100.0,0.0
producthierarchy_level7,10648,100.0,10647,100.0,0.0
producthierarchy_level6,10648,100.0,10647,100.0,0.0
producthierarchy_level5,10648,100.0,10647,100.0,0.0
promotion_valid_upto,10648,100.0,10647,100.0,0.0
promotion_type,10648,100.0,10647,100.0,0.0
promotion_price,10648,100.0,10647,100.0,0.0
promotion_description,10648,100.0,10647,100.0,0.0
receipies,10648,100.0,10647,100.0,0.0
processed_food,10648,100.0,10647,100.0,0.0
price_was,10648,100.0,10647,100.0,0.0
perfect_match,10648,100.0,10647,100.0,0.0
per_unit_sizedescription,10648,100.0,10647,100.0,0.0
percentage_discount,10648,100.0,10647,100.0,0.0
package_sizeof_sellingprice,10648,100.0,10647,100.0,0.0
occasion,10648,100.0,10647,100.0,0.0
return_address,10648,100.0,10647,100.0,0.0
servings_per_pack,10648,100.0,10647,100.0,0.0
vitamins,10648,100.0,10647,100.0,0.0
vinification_details,10648,100.0,10647,100.0,0.0
upc,10648,100.0,10647,100.0,0.0
store_addressline2,10648,100.0,10647,100.0,0.0
region,10648,100.0,10647,100.0,0.0
recycling_information,10648,100.0,10647,100.0,0.0
dimensions,10617,99.71,10615,99.7,-0.009999999999990905
flavour,10556,99.14,10554,99.13,-0.010000000000005116
tasting_note,10556,99.14,10554,99.13,-0.010000000000005116
packaging,10486,98.48,10482,98.45,-0.030000000000001137
preparationinstructions,10455,98.19,10452,98.17,-0.01999999999999602
feeding_recommendation,10397,97.64,10397,97.65,0.010000000000005116
material,10353,97.23,10357,97.28,0.04999999999999716
age_recommendations,10338,97.09,10335,97.07,-0.020000000000010232
